restaurant_name,location,city,cuisines,average_cost_for_two,aggregate_rating,votes,restaurant_type,online_order,book_table
Bangaliana,Hsr,Sarjapur Road,bengali,600.0,3.7,311,Casual Dining,Yes,No
Third Wave Coffee Roasters,Indiranagar,Indiranagar,"cafe, continental, desserts",800.0,4.2,311,Cafe,No,No
Delicacy,Frazer Town,Mg Road,"chinese, thai, momos",500.0,3.9,311,Casual Dining,Yes,No
Kabab Magic,Bannerghatta Road,Bannerghatta Road,"north indian, kebab, chinese, fast food",400.0,3.7,311,Casual Dining,No,No
Cucumber Town,Btm,Koramangala 6Th Block,"kerala, north indian",600.0,4.2,310,Delivery,Yes,No
Willys Top Cafe,Jayanagar,Koramangala 5Th Block,"cafe, continental, asian",750.0,4.0,310,Cafe,Yes,No
Pizza Hut,Marathahalli,Brookefield,pizza,750.0,2.2,310,Quick Bites,Yes,No
Thran,Kalyan Nagar,Kammanahalli,korean,1300.0,4.2,310,Casual Dining,No,Yes
By 2 Coffee,Vijay Nagar,Rajajinagar,south indian,100.0,4.3,310,Quick Bites,Yes,No
Hongkong Garden,Kaggadasapura,Old Airport Road,"chinese, thai, seafood, momos",500.0,3.9,310,Casual Dining,Yes,No
La Brasserie - Le Meridien,Sankey Road,Lavelle Road,"north indian, continental, japanese, chinese, south indian",4100.0,4.1,309,Fine Dining,No,Yes
Masala Klub - The Taj West End,Race Course Road,Church Street,"north indian, south indian",4000.0,4.4,309,Fine Dining,No,Yes
Hyderabad Biryaani Palace,Kammanahalli,Kammanahalli,"biryani, hyderabadi, chinese",750.0,3.4,309,Casual Dining,Yes,No
Kerala Pavilion,Domlur,Old Airport Road,"kerala, south indian, seafood, biryani",300.0,3.9,307,Quick Bites,Yes,No
Chin Lung Resto-Bar,New Bel Road,New Bel Road,"north indian, chinese, fast food",1000.0,4.0,307,"Casual Dining, Bar",No,No
Royal Bengal Corner,Electronic City,Electronic City,"chinese, fast food, north indian, rolls",250.0,3.8,307,Quick Bites,Yes,No
The Globe Grub,Btm,Koramangala 7Th Block,"continental, north indian, asian, italian",1300.0,4.4,307,Casual Dining,No,Yes
Kitchen King,Nagawara,Kalyan Nagar,"rolls, fast food, biryani",400.0,3.8,306,Quick Bites,Yes,No
The Vacationer's Cafe,Koramangala 7Th Block,Koramangala 7Th Block,"cafe, continental, mexican",600.0,4.1,306,Cafe,Yes,No
Kijiji - Chal Yaha Khate Hai,Nagawara,Kalyan Nagar,"north indian, gujarati, street food",400.0,3.7,306,Quick Bites,Yes,No
@Italy,Kumaraswamy Layout,Jp Nagar,italian,700.0,4.1,306,Casual Dining,Yes,No
The Courtyard,Shanti Nagar,Residency Road,"cafe, italian",750.0,3.9,305,Cafe,No,Yes
Khan Saheb Grills and Rolls,Whitefield,Whitefield,"fast food, rolls",400.0,3.8,305,Quick Bites,Yes,No
Domino's Pizza,"Itpl Main Road, Whitefield",Whitefield,"pizza, fast food",400.0,3.0,304,Quick Bites,Yes,No
Anjappar,Hsr,Hsr,"chettinad, south indian",650.0,2.9,304,Casual Dining,No,No
Biriyaniz,Hsr,Koramangala 6Th Block,"biryani, north indian, chinese, andhra",400.0,3.5,304,"Takeaway, Delivery",Yes,No
Paratha Singh,Kalyan Nagar,Kammanahalli,north indian,350.0,4.0,304,,Yes,No
Shaadi Ki Biryani,Commercial Street,Residency Road,biryani,500.0,2.8,303,Casual Dining,Yes,No
Ginger Greens,Kalyan Nagar,Kammanahalli,"andhra, chinese, north indian",750.0,3.9,303,Casual Dining,No,Yes
Desi Dhaba,Electronic City,Electronic City,"chinese, north indian",300.0,3.8,303,Quick Bites,Yes,No
Nossa Goa,Richmond Road,Mg Road,"goan, seafood, konkan, desserts",1000.0,4.1,302,Casual Dining,Yes,Yes
Fishland,Majestic,Lavelle Road,"seafood, north indian, chinese",500.0,4.2,302,Casual Dining,No,No
Pizza Hut,Frazer Town,Frazer Town,"pizza, fast food",750.0,3.3,302,Casual Dining,Yes,No
Vasudev Adiga's,Mg Road,Mg Road,"south indian, north indian, chinese, street food",250.0,2.5,301,Quick Bites,No,No
Capri Gastrobar,St. Marks Road,Residency Road,"mediterranean, italian, asian",1200.0,4.3,301,"Bar, Casual Dining",No,Yes
Donne Biryani Kuteera,Banaswadi,Kammanahalli,biryani,200.0,3.8,301,Quick Bites,Yes,No
Birinz,Btm,Koramangala 7Th Block,"biryani, chinese, mughlai, fast food, kebab",700.0,4.1,300,Casual Dining,Yes,No
Paranthas and Dosas,Kalyan Nagar,Kalyan Nagar,"north indian, south indian",400.0,3.7,300,Quick Bites,No,No
Beijing Bites,Marathahalli,Marathahalli,"chinese, thai",850.0,3.9,300,Casual Dining,Yes,No
Raaga,Indiranagar,Old Airport Road,"north indian, chinese, continental",1200.0,3.8,300,Casual Dining,Yes,Yes
nu.tree,Sarjapur Road,Sarjapur Road,"north indian, healthy food, beverages",400.0,4.3,300,Delivery,Yes,No
Rolls On Wheels,Banashankari,Banashankari,"fast food, rolls, momos",300.0,3.6,299,Quick Bites,No,No
Calvin's,Whitefield,Whitefield,desserts,600.0,3.9,299,"Dessert Parlor, Quick Bites",No,No
Downtown,Residency Road,Mg Road,"north indian, continental",1000.0,3.7,298,Pub,No,No
Biryani Junction,Bommanahalli,Koramangala 4Th Block,"biryani, north indian, chinese",450.0,2.3,298,Quick Bites,Yes,No
Refresh,Whitefield,Whitefield,"continental, chinese, fast food, rolls, momos",400.0,3.6,298,Quick Bites,Yes,No
Biggies Burger 'n' More,Brookefield,Whitefield,"cafe, burger, fast food",400.0,4.0,298,Quick Bites,Yes,No
Seafood Place,Indiranagar,Frazer Town,"chinese, north indian, kerala, mangalorean, seafood",800.0,4.1,298,Casual Dining,Yes,No
Grazers,Jayanagar,Koramangala 7Th Block,"cafe, burger, continental, italian, desserts",650.0,3.9,298,Cafe,Yes,Yes
Chikpet Donne Biriyani House,Rajajinagar,Rajajinagar,"biryani, kebab",400.0,3.7,297,Quick Bites,Yes,No
Pot Biryani,Electronic City,Electronic City,"north indian, chinese, biryani, seafood",600.0,2.8,297,Quick Bites,Yes,No
Maa Bhook Lagi,Koramangala 4Th Block,Koramangala 6Th Block,north indian,400.0,3.9,297,"Takeaway, Delivery",Yes,No
Meenu Oota Da Maane,Koramangala 5Th Block,Koramangala 6Th Block,"seafood, mangalorean, chinese",800.0,4.2,296,Casual Dining,Yes,Yes
Kitchens@Whitefield,"Varthur Main Road, Whitefield",Whitefield,"biryani, kerala, mughlai, street food, north indian, chinese, south indian, andhra",400.0,3.7,296,"Takeaway, Delivery",Yes,No
Thiruvithamkoor Restaurant,Sarjapur Road,Sarjapur Road,"kerala, seafood, south indian, biryani",400.0,3.3,296,Quick Bites,Yes,No
Stoked!,Koramangala 4Th Block,Koramangala 6Th Block,"cafe, italian, pizza",850.0,4.3,295,Cafe,No,No
Night Food Joint,Marathahalli,Marathahalli,"north indian, chinese",500.0,2.8,295,Delivery,Yes,No
BOX8- Desi Meals,Residency Road,Residency Road,"north indian, mughlai, fast food",500.0,4.3,295,"Takeaway, Delivery",Yes,No
Odisha Platter,Marathahalli,Marathahalli,oriya,350.0,3.8,295,Quick Bites,Yes,No
McDonald's,Koramangala 5Th Block,Koramangala 5Th Block,"fast food, burger",500.0,3.8,295,Quick Bites,Yes,No
Volga Restaurant,Electronic City,Electronic City,"north indian, chinese, middle eastern",500.0,3.7,294,Casual Dining,Yes,No
Vaathsalya Millet Cafe,Jp Nagar,Jp Nagar,"healthy food, south indian",500.0,4.1,294,Casual Dining,Yes,Yes
Howrah Bridge,Hsr,Koramangala 6Th Block,"bengali, seafood",600.0,3.2,294,Casual Dining,Yes,No
The Charcoal Factory,Koramangala 6Th Block,Koramangala 4Th Block,"burger, pizza, momos",600.0,4.1,293,Quick Bites,Yes,No
Chaat Street,Koramangala 6Th Block,Koramangala 4Th Block,"street food, north indian",250.0,4.0,293,Kiosk,Yes,No
Countryside - The Taste of Chettinad,Kalyan Nagar,Kalyan Nagar,"seafood, biryani, south indian, chettinad",900.0,3.9,293,Casual Dining,Yes,Yes
Chai Point,Koramangala 6Th Block,Koramangala 7Th Block,"tea, fast food, beverages, sandwich",250.0,4.0,293,"Beverage Shop, Quick Bites",No,No
New Tandoor,Cv Raman Nagar,Old Airport Road,"north indian, chinese, mughlai, rolls",550.0,3.5,293,Casual Dining,Yes,No
Corner House Ice Cream,Lavelle Road,Brigade Road,"ice cream, desserts",400.0,4.5,292,Dessert Parlor,No,No
Maziga,Whitefield,Whitefield,modern indian,1500.0,4.7,292,Casual Dining,Yes,No
Beijing Bites,Jeevan Bhima Nagar,Old Airport Road,"chinese, thai",850.0,3.2,292,Casual Dining,Yes,No
Chichaba's Taj,Kalyan Nagar,Kammanahalli,"biryani, north indian, mughlai",600.0,3.8,292,Casual Dining,Yes,No
Marigold Fine Dine Restaurant,Whitefield,Whitefield,"continental, asian",1500.0,4.0,292,Casual Dining,No,Yes
Ibaco,Indiranagar,Old Airport Road,desserts,300.0,4.0,292,Dessert Parlor,Yes,No
Swathi Maharaja,Koramangala 4Th Block,Koramangala 4Th Block,"andhra, north indian, chinese, biryani",750.0,3.7,291,Casual Dining,Yes,Yes
Kava - Fairfield by Marriott,Bellandur,Sarjapur Road,"north indian, south indian, continental",1500.0,3.9,291,Casual Dining,No,Yes
Domino's Pizza,Koramangala 4Th Block,Koramangala 6Th Block,"pizza, fast food",400.0,3.0,291,Quick Bites,Yes,No
Vasudev Adiga's,Bannerghatta Road,Jp Nagar,"south indian, north indian, chinese, street food",250.0,2.3,291,Casual Dining,No,No
Maiyas,Malleshwaram,Malleshwaram,"south indian, north indian, chinese, bakery, desserts",300.0,3.9,291,"Quick Bites, Bakery",Yes,No
Lakeview Milkbar,Koramangala 8Th Block,Koramangala 5Th Block,"desserts, cafe, fast food",500.0,3.8,291,"Dessert Parlor, Cafe",No,No
The Paratha Company,Koramangala 4Th Block,Koramangala 7Th Block,north indian,400.0,4.3,291,Delivery,Yes,No
Timepass Dinner,Basavanagudi,Jayanagar,north indian,600.0,3.8,291,Casual Dining,Yes,No
Dum Pukht Jolly Nabobs - ITC Windsor,Sankey Road,Malleshwaram,north indian,4000.0,4.3,291,Fine Dining,No,Yes
Vasudev Adiga's,Koramangala 4Th Block,Koramangala 7Th Block,"south indian, north indian, chinese, street food",250.0,2.9,291,Casual Dining,No,No
Hatti Punjab Di,Electronic City,Electronic City,"north indian, chinese",550.0,3.0,291,Casual Dining,Yes,No
Smoor,Malleshwaram,Rajajinagar,"desserts, cafe, continental",700.0,4.2,290,"Cafe, Dessert Parlor",Yes,No
Drunken Monkey,Bannerghatta Road,Btm,"beverages, fast food",400.0,4.4,290,"Beverage Shop, Quick Bites",Yes,No
Soo Ra Sang,Indiranagar,Indiranagar,korean,1500.0,4.1,290,Casual Dining,No,No
Tandoori Knight,Banashankari,Banashankari,"north indian, chinese, biryani, kebab",450.0,3.0,290,Quick Bites,Yes,No
Chung's Chinese Corner,Indiranagar,Old Airport Road,"chinese, asian, american, seafood",600.0,2.7,290,Casual Dining,Yes,No
Mojo Pizza - 2X Toppings,Rajajinagar,Rajajinagar,pizza,600.0,4.2,290,"Takeaway, Delivery",Yes,No
Gusto's Pizza,Bellandur,Hsr,"pizza, italian",500.0,3.0,289,Casual Dining,Yes,No
Cravy Wings,Bannerghatta Road,Basavanagudi,"american, burger, fast food",400.0,4.2,289,Quick Bites,Yes,No
Pakwan,Sadashiv Nagar,Malleshwaram,"north indian, chinese, italian",800.0,4.1,289,Casual Dining,Yes,Yes
Nandhini Paradise,Indiranagar,Old Airport Road,north indian,600.0,3.7,289,Casual Dining,No,Yes
Krutunga,Hsr,Hsr,"andhra, biryani",500.0,3.6,289,Casual Dining,No,No
The Mad Teapot,Indiranagar,Indiranagar,cafe,850.0,4.1,289,Cafe,No,Yes
Suchithra Biryani House,Old Airport Road,Old Airport Road,"andhra, biryani, north indian",450.0,3.7,288,Casual Dining,No,No
Late Night,Kumaraswamy Layout,Jp Nagar,"north indian, chinese",500.0,3.7,288,Quick Bites,Yes,No
Leon Grill,St. Marks Road,Lavelle Road,"burger, fast food",500.0,4.3,288,Quick Bites,Yes,No
Talk Over Table,Jeevan Bhima Nagar,Old Airport Road,cafe,500.0,4.0,288,Cafe,No,No
Domino's Pizza,Frazer Town,Frazer Town,"pizza, fast food",400.0,3.7,288,Quick Bites,Yes,No
Stonelicious,Marathahalli,Marathahalli,"desserts, ice cream",300.0,4.1,287,Dessert Parlor,Yes,No
29 Degrees North,Banaswadi,Kammanahalli,"north indian, fast food, street food",250.0,3.9,287,Quick Bites,Yes,No
South Idlis,Rajajinagar,Rajajinagar,south indian,150.0,4.0,287,Quick Bites,Yes,No
Asha Tiffins,Hsr,Koramangala 7Th Block,south indian,150.0,4.3,287,Quick Bites,Yes,No
eat.fit,Nagawara,Kalyan Nagar,"healthy food, north indian, biryani, continental, sandwich, desserts",500.0,4.4,287,Delivery,Yes,No
McDonald's,Banashankari,Banashankari,"burger, fast food",500.0,3.9,286,Quick Bites,Yes,No
Ganesh Darshini,Malleshwaram,Malleshwaram,"south indian, fast food",150.0,3.7,286,Quick Bites,Yes,No
Saarangi Fine Dining,Jayanagar,Jayanagar,"north indian, chinese, south indian",450.0,0.0,285,Casual Dining,No,No
Citrus Cafe - Lemon Tree Hotel,Electronic City,Electronic City,"north indian, continental, south indian",2200.0,3.9,285,Fine Dining,No,Yes
Chowmein,Basaveshwara Nagar,Rajajinagar,"chinese, north indian, momos, biryani",800.0,3.8,285,Casual Dining,Yes,No
WOW! Momo,Malleshwaram,Malleshwaram,"tibetan, momos",400.0,3.9,285,Food Court,Yes,No
JukeBox,Koramangala 7Th Block,Koramangala 6Th Block,"continental, parsi, chinese, north indian, italian, steak",1000.0,3.9,284,"Casual Dining, Bar",No,Yes
Cilantro,Koramangala 4Th Block,Old Airport Road,"european, american, continental, north indian, steak",1500.0,4.0,284,"Casual Dining, Bar",Yes,Yes
Mani's Dum Biryani,Marathahalli,Marathahalli,"biryani, andhra",750.0,4.0,284,Casual Dining,Yes,No
Mandya Gowdru Donne Biriyani,Hsr,Koramangala 5Th Block,"biryani, south indian",350.0,3.8,283,Quick Bites,Yes,No
Nandhini Deluxe,Banashankari,Banashankari,north indian,600.0,2.6,283,Casual Dining,No,No
Tongue Twisters,Btm,Koramangala 7Th Block,"bengali, north indian, oriya",350.0,3.5,283,Quick Bites,Yes,No
Vindu Andhra Ruchulu,Jayanagar,Jayanagar,"biryani, north indian, andhra",800.0,3.8,283,Casual Dining,Yes,No
Kabab Magic,Hsr,Koramangala 4Th Block,"north indian, kebab, fast food",500.0,3.1,283,Quick Bites,Yes,No
Raichur Biryani House,Hsr,Koramangala 5Th Block,"biryani, north indian, chinese",400.0,3.8,283,Quick Bites,Yes,No
Corner House Ice Cream,Koramangala 5Th Block,Koramangala 7Th Block,"ice cream, desserts",400.0,4.6,283,Dessert Parlor,Yes,No
Bekal,Jeevan Bhima Nagar,Old Airport Road,"kerala, mangalorean, seafood",700.0,4.0,283,Casual Dining,Yes,No
Brahmin's Coffee Bar,Malleshwaram,Malleshwaram,south indian,250.0,3.9,282,Quick Bites,No,No
Dil Se Dilli,Whitefield,Whitefield,"north indian, mughlai",700.0,3.8,282,Casual Dining,Yes,No
MoMo Cafe - Courtyard by Marriott,Bellandur,Sarjapur Road,"asian, north indian, south indian, momos",2000.0,4.1,282,Casual Dining,No,Yes
GMT - Gelateria Montecatini Terme,Indiranagar,Old Airport Road,"desserts, ice cream",300.0,4.4,282,Dessert Parlor,Yes,No
Sotally Tober,Residency Road,Brigade Road,"asian, burger, chinese, finger food",1200.0,4.4,282,"Bar, Casual Dining",No,Yes
McDonald's,New Bel Road,New Bel Road,"burger, fast food",500.0,3.9,281,Quick Bites,Yes,No
OCEA HOTEL,Brigade Road,Residency Road,"north indian, chinese, seafood",800.0,3.7,281,Casual Dining,Yes,No
Anand Sweets And Savouries,Sarjapur Road,Sarjapur Road,"mithai, fast food",400.0,4.2,281,"Sweet Shop, Quick Bites",No,No
Laddoos,Btm,Btm,"street food, mithai",200.0,3.4,280,"Quick Bites, Sweet Shop",Yes,No
Arya Hungry?,Koramangala 7Th Block,Koramangala 7Th Block,north indian,450.0,4.3,280,Quick Bites,Yes,No
Chowmein,Seshadripuram,Malleshwaram,"north indian, chinese, thai, momos",600.0,4.0,280,Casual Dining,Yes,No
Kudla - Coraltree,Rt Nagar,Malleshwaram,"seafood, mangalorean",1200.0,3.8,280,Casual Dining,Yes,Yes
New Modern Hotel,Basavanagudi,Basavanagudi,south indian,150.0,4.2,280,Quick Bites,No,No
Hari Super Sandwich,Basavanagudi,Basavanagudi,"fast food, street food",200.0,4.1,279,Quick Bites,No,No
Nandhini Paradise,St. Marks Road,Residency Road,"andhra, chinese, north indian",800.0,3.6,279,"Casual Dining, Bar",No,Yes
Donne Biriyani House,Hsr,Koramangala 5Th Block,biryani,200.0,3.8,278,Quick Bites,Yes,No
Hyderabad Chefs,Whitefield,Whitefield,"hyderabadi, andhra, north indian, chinese, south indian",800.0,4.0,277,Casual Dining,Yes,No
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Kalyan Nagar,Kammanahalli,"cafe, continental, north indian",900.0,4.0,277,Cafe,Yes,No
Cafe On The Way,Koramangala 3Rd Block,Koramangala 7Th Block,cafe,500.0,4.0,277,Cafe,Yes,No
You Mee,Whitefield,Whitefield,"sushi, japanese, chinese, thai",2000.0,4.7,277,Casual Dining,Yes,No
Brooks 37,Brookefield,Whitefield,"north indian, continental, asian, pizza",1000.0,4.1,276,"Casual Dining, Bar",Yes,Yes
Dot.yum - Aloft Hotel,Whitefield,Whitefield,"italian, north indian, continental, bbq",2000.0,3.9,276,Casual Dining,No,Yes
McDonald's,Basavanagudi,Basavanagudi,"burger, fast food",500.0,3.6,276,Quick Bites,Yes,No
South Kitchen,Basavanagudi,Jayanagar,south indian,100.0,4.3,276,Quick Bites,Yes,No
Pure Punjabi,Electronic City,Electronic City,"chinese, north indian, fast food",450.0,3.4,275,Quick Bites,Yes,No
Riwaz - The Ritz-Carlton,Residency Road,Lavelle Road,north indian,4000.0,4.1,275,"Fine Dining, Bar",No,Yes
Siddappa Hotel,Richmond Road,Brigade Road,south indian,150.0,4.1,274,Quick Bites,No,No
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Kalyan Nagar,Kalyan Nagar,"cafe, continental, north indian",900.0,4.1,274,Cafe,Yes,No
Clean Slate Cafe,Malleshwaram,Rajajinagar,"cafe, continental, italian",600.0,4.1,274,Cafe,Yes,No
Monsoon - The Park Bangalore,Mg Road,Residency Road,"italian, north indian",3000.0,4.1,274,Fine Dining,No,Yes
Mugful Of Stories,Kalyan Nagar,Kalyan Nagar,"desserts, bakery",300.0,4.6,274,Dessert Parlor,No,No
NY Pizza & Waffles,Electronic City,Electronic City,"pizza, desserts",400.0,3.1,273,Quick Bites,Yes,No
Subway,Jp Nagar,Jp Nagar,"salad, fast food",600.0,4.0,273,Quick Bites,Yes,No
Natural Ice Cream,New Bel Road,New Bel Road,"ice cream, beverages",200.0,4.3,273,Dessert Parlor,No,No
New Friends,Btm,Btm,"north indian, continental, chinese, steak",900.0,3.8,273,Casual Dining,Yes,No
Sherlock's Pub,Brookefield,Whitefield,"continental, north indian, chinese",1500.0,3.3,273,"Pub, Casual Dining",Yes,Yes
Sutra - The Lalit Ashok Bangalore,Seshadripuram,Malleshwaram,"continental, chinese",2200.0,3.8,273,Lounge,No,No
The Alphaa,Bommanahalli,Hsr,"andhra, north indian, chinese, biryani, seafood",550.0,3.8,273,Casual Dining,Yes,No
Soul Treat,Sarjapur Road,Sarjapur Road,"bakery, desserts, healthy food",750.0,4.3,273,Bakery,Yes,No
Sichuan,Bellandur,Sarjapur Road,"chinese, asian, seafood",800.0,4.1,273,Casual Dining,Yes,No
Gorilla Barfare,Koramangala 6Th Block,Koramangala 7Th Block,"continental, pizza, burger",1400.0,4.2,272,"Pub, Casual Dining",No,No
Chai Point,Mg Road,Lavelle Road,"tea, fast food, beverages, sandwich",250.0,3.9,272,"Beverage Shop, Quick Bites",Yes,No
Pasta Street,Koramangala 4Th Block,Koramangala 7Th Block,"italian, pizza, salad",1300.0,4.5,272,Casual Dining,Yes,Yes
Regulars Pub & Grub,Indiranagar,Old Airport Road,"continental, south indian, mangalorean, chinese, north indian, seafood",1300.0,3.9,271,"Pub, Casual Dining",No,Yes
The Wok Shop,Koramangala 1St Block,Koramangala 7Th Block,"asian, chinese, momos, fast food, indonesian, korean",500.0,4.1,271,Quick Bites,Yes,No
Chin Chin by The Biere Club,Whitefield,Whitefield,asian,1500.0,4.2,271,Casual Dining,Yes,Yes
InnerChef,Indiranagar,Old Airport Road,"north indian, continental",500.0,3.7,271,Delivery,Yes,No
Kaayal,Brookefield,Marathahalli,"kerala, chinese",500.0,3.2,270,Casual Dining,Yes,No
Royal Calcutta Restaurant,Koramangala 1St Block,Koramangala 6Th Block,"north indian, chinese, bengali",450.0,4.0,270,Quick Bites,Yes,No
Sbarro,Malleshwaram,Rajajinagar,pizza,500.0,2.8,270,Food Court,No,No
Punjabi Tadka,Bellandur,Sarjapur Road,"north indian, chinese",400.0,2.6,270,Casual Dining,No,No
Mughlai Kitchen,Btm,Btm,"mughlai, north indian, chinese, momos",600.0,3.5,270,,Yes,No
Pizza Republic,Electronic City,Electronic City,"pizza, fast food",500.0,3.8,270,Quick Bites,Yes,No
Tarbouche,Koramangala 5Th Block,Koramangala 6Th Block,"turkish, rolls",300.0,4.0,269,Kiosk,Yes,No
Hotel Junior Kuppanna,Hsr,Koramangala 6Th Block,"chettinad, south indian",550.0,3.1,269,Casual Dining,Yes,No
Annabell,Indiranagar,Old Airport Road,"fast food, burger, beverages",800.0,4.0,269,"Quick Bites, Beverage Shop",Yes,No
Nandhini Deluxe,Whitefield,Whitefield,north indian,600.0,2.9,268,Casual Dining,No,Yes
24@43 - The Oterra,Electronic City,Electronic City,"north indian, asian, continental",3000.0,4.1,268,Fine Dining,No,Yes
Agarwal Food Service,Bannerghatta Road,Jayanagar,"north indian, chinese, biryani",400.0,3.8,268,Delivery,Yes,No
RS Shiv Sagar,Mg Road,Mg Road,"north indian, mexican, continental, street food",600.0,4.1,268,Casual Dining,No,No
Karibu - The Zuri,Whitefield,Whitefield,"south indian, asian",2000.0,3.9,268,Casual Dining,No,Yes
De Grand Restaurant,Banaswadi,Kammanahalli,"north indian, chinese",600.0,3.9,268,Quick Bites,Yes,No
Donne Biriyani Angadi Mane,Rajajinagar,Rajajinagar,"south indian, biryani",250.0,3.8,268,Quick Bites,Yes,No
Cafe Ajfan,Jayanagar,Jayanagar,"cafe, continental, beverages",700.0,4.2,268,Cafe,Yes,No
Chetty's Coffee,New Bel Road,New Bel Road,south indian,200.0,3.9,267,Quick Bites,Yes,No
Smokey Tribe Restaurant,Koramangala 7Th Block,Koramangala 7Th Block,"north eastern, chinese",650.0,3.8,267,Casual Dining,Yes,No
Alto Vino - Bengaluru Marriott Hotel Whitefield,Whitefield,Whitefield,"italian, salad",3000.0,4.3,267,Fine Dining,No,Yes
Sharief Bhai,Frazer Town,Frazer Town,"mughlai, biryani",700.0,4.3,267,Casual Dining,No,Yes
Soul Indian Specialty - Svenska Design Hotel,Electronic City,Electronic City,"north indian, south indian, asian, italian, continental",2000.0,3.7,267,Fine Dining,Yes,Yes
Real Fresh Dosa Corner,Brookefield,Whitefield,south indian,200.0,4.2,267,Quick Bites,No,No
Bombay Chowpaty Kulfi,Frazer Town,Frazer Town,"ice cream, desserts",250.0,4.2,267,"Dessert Parlor, Quick Bites",No,No
Raat Ki Rani,Jeevan Bhima Nagar,Old Airport Road,"fast food, north indian",400.0,4.3,267,Delivery,Yes,No
Beijing Bites,Richmond Road,Residency Road,"chinese, thai",850.0,3.8,266,Casual Dining,Yes,No
Bathinda Dine,Bellandur,Sarjapur Road,north indian,950.0,3.9,266,Casual Dining,Yes,No
MISU,Indiranagar,Old Airport Road,"asian, japanese, korean, indonesian, malaysian, singaporean",1700.0,4.4,266,Casual Dining,Yes,Yes
Domino's Pizza,Shanti Nagar,Church Street,"pizza, fast food",400.0,3.7,266,Quick Bites,Yes,No
Vasudev Adiga's,Jayanagar,Jayanagar,"south indian, north indian, chinese, street food",250.0,3.8,266,Quick Bites,No,No
Belgian Waffle Factory,Kalyan Nagar,Kammanahalli,desserts,400.0,4.8,265,Dessert Parlor,Yes,No
Hotel Karavali,Jeevan Bhima Nagar,Old Airport Road,"biryani, north indian, mangalorean, seafood",450.0,3.7,265,Quick Bites,Yes,No
Sri Udupi Park,Brookefield,Brookefield,"south indian, north indian, chinese",400.0,3.9,265,Quick Bites,Yes,No
Peppy Peppers,Banashankari,Jayanagar,"italian, north indian, mexican",800.0,0.0,265,Casual Dining,No,No
The Barn - Bar & Kitchen,Brigade Road,Residency Road,"american, north indian, chinese",1500.0,4.2,265,Pub,No,Yes
Gama Gama,Banashankari,Basavanagudi,south indian,200.0,3.9,264,Quick Bites,Yes,No
White Plate,Mg Road,Residency Road,"thai, continental, north indian",1500.0,4.2,264,"Casual Dining, Bar",No,Yes
Imperial Restaurant,Mysore Road,Banashankari,"north indian, chinese, biryani, beverages",750.0,3.7,264,Casual Dining,Yes,No
Kim Lee Restaurant,Indiranagar,Indiranagar,"chinese, momos",650.0,3.8,264,Casual Dining,No,No
Kadai Crust - Amma Veetu Samayal,Indiranagar,Old Airport Road,"chettinad, south indian, biryani",700.0,3.8,263,"Takeaway, Delivery",No,No
Kylie's,Indiranagar,Old Airport Road,"asian, chinese",0.0,4.2,263,Quick Bites,No,No
The Coffee Bean & Tea Leaf,Mg Road,Residency Road,cafe,700.0,3.8,263,Cafe,Yes,No
Sbarro,Whitefield,Whitefield,pizza,500.0,2.7,263,Food Court,Yes,No
Snow Lion Tibet Kitchen,New Bel Road,New Bel Road,"tibetan, asian, thai, chinese, momos",400.0,3.9,263,Quick Bites,No,No
Folklore Restaurant,Sarjapur Road,Sarjapur Road,"north indian, south indian, kerala, seafood",450.0,3.2,263,Casual Dining,Yes,No
KFC,Frazer Town,Frazer Town,"burger, fast food",400.0,3.3,263,Quick Bites,Yes,No
Marenahalli Donne Biriyani,Jp Nagar,Jayanagar,"biryani, fast food",300.0,4.0,263,Quick Bites,Yes,No
Sri Lakshmi Dhaba,Btm,Koramangala 7Th Block,north indian,250.0,3.0,262,Quick Bites,Yes,No
Wazir's,Shanti Nagar,Mg Road,"north indian, chinese",500.0,3.3,262,Casual Dining,Yes,No
The Meal Story,Sarjapur Road,Sarjapur Road,"north indian, street food",700.0,4.1,262,Casual Dining,Yes,No
Ruchi Sagar,Electronic City,Electronic City,"south indian, north indian, chinese, juices",250.0,4.0,262,Quick Bites,Yes,No
Anand Sweets and Savouries,Old Airport Road,Old Airport Road,"mithai, fast food",400.0,4.0,262,Sweet Shop,Yes,No
Alankrutha,Btm,Koramangala 7Th Block,"north indian, chinese",550.0,3.8,262,Casual Dining,Yes,No
Green Pepper,Jeevan Bhima Nagar,Old Airport Road,"seafood, south indian, chinese, kerala",600.0,3.9,262,Casual Dining,Yes,No
Domino's Pizza,Marathahalli,Marathahalli,"pizza, fast food",400.0,3.9,262,Quick Bites,Yes,No
McDonald's,Bellandur,Sarjapur Road,"burger, fast food",500.0,3.6,262,Quick Bites,Yes,No
Kuttanadu,Hsr,Hsr,"kerala, chinese, seafood, north indian",700.0,2.8,261,Casual Dining,Yes,No
Krispy Kreme,Indiranagar,Old Airport Road,"desserts, beverages",300.0,4.1,261,Dessert Parlor,Yes,No
Families Food Court,Hsr,Hsr,"north indian, chinese, biryani, rolls",400.0,3.9,261,Quick Bites,Yes,No
