restaurant_name,location,city,cuisines,average_cost_for_two,aggregate_rating,votes,restaurant_type,online_order,book_table
Pals Food Point,Electronic City,Electronic City,south indian,150.0,0.0,0,Quick Bites,No,No
Theka,Electronic City,Electronic City,"north indian, street food",300.0,0.0,0,Food Court,No,No
RICE BAR,Bellandur,Bellandur,"north indian, biryani",500.0,0.0,0,Delivery,No,No
Paani Puri Adda,Bellandur,Bellandur,north indian,300.0,0.0,0,Delivery,No,No
Wangchuk Trail,Bellandur,Bellandur,chinese,200.0,0.0,0,"Takeaway, Delivery",No,No
Aafa Calicut Restaurant,Electronic City,Electronic City,"fast food, chinese",150.0,0.0,0,Quick Bites,No,No
Shri Lakshmi Vilas Andhra Mess - Taste of Vijayawada,Electronic City,Electronic City,"andhra, chinese, biryani",500.0,0.0,0,Quick Bites,Yes,No
Northern Tadka,Bellandur,Bellandur,north indian,400.0,0.0,0,"Takeaway, Delivery",No,No
Tyohaar Restaurant,Bellandur,Bellandur,"hyderabadi, biryani",400.0,0.0,0,Quick Bites,No,No
Annabell,Bellandur,Bellandur,"continental, beverages",700.0,0.0,0,"Quick Bites, Beverage Shop",No,No
Indian Tava Phasta,Electronic City,Electronic City,"north indian, rolls",250.0,0.0,0,Quick Bites,No,No
VM Amul Ice Cream,Bellandur,Bellandur,ice cream,100.0,0.0,0,Dessert Parlor,No,No
Biryani Factory,Bellandur,Bellandur,biryani,400.0,0.0,0,Delivery,No,No
V-3 Food Spot,Electronic City,Electronic City,"north indian, chinese, south indian",300.0,0.0,0,Quick Bites,No,No
Ambur Dum Biryani,Electronic City,Electronic City,"biryani, fast food",300.0,0.0,0,Quick Bites,No,No
Teekhi Mirrchi,Bellandur,Bellandur,"chinese, north indian",700.0,0.0,0,"Takeaway, Delivery",No,No
Eat Repeat Express,Bellandur,Bellandur,"north indian, chinese, continental",600.0,0.0,0,Delivery,No,No
Ghar Ka Aahar,Bellandur,Bellandur,north indian,400.0,0.0,0,Delivery,No,No
Kerala Food,Electronic City,Electronic City,"kerala, south indian",250.0,0.0,0,Quick Bites,No,No
Elaz Rannaghor,Bellandur,Bellandur,"bengali, north indian",350.0,0.0,0,"Takeaway, Delivery",No,No
Noodle Oodle,Bellandur,Bellandur,chinese,400.0,0.0,0,"Takeaway, Delivery",No,No
Tasty Food,Whitefield,Brookefield,"north indian, chinese",300.0,0.0,0,Quick Bites,Yes,No
Pindi Bangalore,Whitefield,Brookefield,"north indian, chinese, biryani, street food",950.0,0.0,0,Casual Dining,No,No
Red Pepper,Whitefield,Brookefield,"north indian, bengali, biryani, mughlai",250.0,0.0,0,Quick Bites,No,No
Foody's Take Away,Jayanagar,Btm,"chinese, biryani",300.0,0.0,0,Quick Bites,No,No
Bake Feast,Bannerghatta Road,Btm,bakery,300.0,0.0,0,Bakery,No,No
4671 Indian Coastal Cuisine,Bannerghatta Road,Btm,"seafood, mangalorean, kerala",600.0,0.0,0,Food Court,No,No
Malabar Kitchen,Btm,Koramangala 6Th Block,"north indian, chinese, fast food",300.0,0.0,0,Quick Bites,Yes,No
Hotel Sekar,Btm,Koramangala 6Th Block,north indian,200.0,0.0,0,Quick Bites,Yes,No
Taste of Chettinad,Bellandur,Bellandur,"chettinad, south indian",400.0,0.0,0,Delivery,No,No
Juicy Juice,Rt Nagar,Frazer Town,"beverages, ice cream",100.0,0.0,0,Beverage Shop,Yes,No
Biryani Bar,Kalyan Nagar,Frazer Town,biryani,500.0,0.0,0,Delivery,Yes,No
Omleterian,Kammanahalli,Frazer Town,"american, continental",200.0,0.0,0,Delivery,Yes,No
9 Bowls,Banaswadi,Frazer Town,"healthy food, continental, north indian, chinese",500.0,0.0,0,Delivery,Yes,No
Chill Out Bar,Electronic City,Electronic City,"finger food, fast food",1500.0,0.0,0,Bar,No,No
Maz Food Point,Kammanahalli,Frazer Town,"chinese, south indian, biryani",300.0,0.0,0,Quick Bites,Yes,No
The Food Corner,Rt Nagar,Frazer Town,"north indian, chinese",400.0,0.0,0,Quick Bites,Yes,No
Delight Foods,Bellandur,Bellandur,"andhra, beverages, biryani, chinese, fast food, hyderabadi, north indian, south indian",750.0,0.0,0,"Takeaway, Delivery",No,No
Juice n Cafe,Sarjapur Road,Bellandur,"burger, sandwich, beverages, juices",150.0,0.0,0,"Quick Bites, Beverage Shop",Yes,No
Club Food,Sarjapur Road,Bellandur,"north indian, chinese",250.0,0.0,0,Quick Bites,Yes,No
House Of Candy,Banaswadi,Frazer Town,desserts,200.0,0.0,0,Confectionery,Yes,No
Richbite Indian Spice,Jp Nagar,Btm,north indian,500.0,0.0,0,Food Court,No,No
Mr. Cane,Bommanahalli,Btm,juices,100.0,0.0,0,Beverage Shop,Yes,No
Sri Brahmi Kuteera,Jp Nagar,Btm,south indian,150.0,0.0,0,Quick Bites,No,No
Vijayalaxmi Veg,Banaswadi,Frazer Town,"north indian, south indian, chinese, fast food",200.0,0.0,0,Quick Bites,Yes,No
Happy Eats,Sarjapur Road,Bellandur,"north indian, continental",300.0,0.0,0,Delivery,Yes,No
Shree Mahalakshmi Sweets,Kammanahalli,Frazer Town,"mithai, street food",100.0,0.0,0,Sweet Shop,Yes,No
Sri Vishnu Garden Family Bar & Restaurant,Sarjapur Road,Bellandur,"north indian, south indian, chinese, hyderabadi",700.0,0.0,0,"Bar, Casual Dining",Yes,No
Copper Cafe & Grill,Hsr,Btm,"cafe, north indian, continental",500.0,0.0,0,Cafe,No,No
Natha & Lobo's,Jayanagar,Btm,"chinese, north indian",500.0,0.0,0,Casual Dining,No,No
New Nandan Family Restaurant,Jp Nagar,Btm,"biryani, chinese, hyderabadi, kebab",300.0,0.0,0,Quick Bites,No,No
Kerala Tiffin,Bellandur,Bellandur,south indian,400.0,0.0,0,"Takeaway, Delivery",No,No
Omleterian,Thippasandra,Old Airport Road,"american, continental",200.0,0.0,0,Quick Bites,Yes,No
Zing Roll,Hsr,Bellandur,"rolls, sandwich",300.0,0.0,0,Quick Bites,Yes,No
Hot Zone,Hsr,Koramangala 4Th Block,"fast food, south indian",200.0,0.0,0,Quick Bites,No,No
Momo Time,Thippasandra,Old Airport Road,"momos, chinese",300.0,0.0,0,Delivery,Yes,No
Artinci Artisanal Ice Cream,Jeevan Bhima Nagar,Old Airport Road,"desserts, ice cream",300.0,0.0,0,Dessert Parlor,Yes,No
Five Senses,Bellandur,Bellandur,"continental, north indian, fast food",500.0,0.0,0,"Takeaway, Delivery",Yes,No
Tandoor Plaza,Bannerghatta Road,Btm,north indian,500.0,0.0,0,Casual Dining,No,No
Tandoor Dum,Jp Nagar,Btm,north indian,600.0,0.0,0,Casual Dining,No,No
Foody's Land,Old Airport Road,Old Airport Road,fast food,300.0,0.0,0,Quick Bites,Yes,No
Kumbakonam Degree Coffee,Hsr,Koramangala 4Th Block,south indian,150.0,0.0,0,Quick Bites,No,No
Sree Banashankari Donne Biriyani,Rajajinagar,Btm,"north indian, kebab",250.0,0.0,0,Quick Bites,Yes,No
SSignature,Hsr,Koramangala 4Th Block,"north indian, south indian, chinese",800.0,0.0,0,Casual Dining,No,No
Eat Food,Indiranagar,Old Airport Road,"north indian, fast food, biryani, beverages",400.0,0.0,0,Delivery,Yes,No
Biruva's Biryani House,Sarjapur Road,Bellandur,"biryani, north indian, chinese",200.0,0.0,0,Quick Bites,Yes,No
Orchard Fresh,Sarjapur Road,Bellandur,ice cream,150.0,0.0,0,Dessert Parlor,Yes,No
Bangalore Pizza & Pulse Juice Bar,Bannerghatta Road,Btm,"juices, pizza",500.0,0.0,0,Food Court,No,No
Bao & Grills,Bannerghatta Road,Btm,"chinese, asian",300.0,0.0,0,Food Court,No,No
The Fresh 'N' Grill,Banaswadi,Frazer Town,fast food,150.0,0.0,0,Quick Bites,Yes,No
Shake The Shake,Kammanahalli,Frazer Town,juices,200.0,0.0,0,Beverage Shop,Yes,No
Srinidhi Fast Food,Cv Raman Nagar,Old Airport Road,fast food,400.0,0.0,0,Quick Bites,Yes,No
VegiGate,Sarjapur Road,Koramangala 4Th Block,"cafe, chinese",500.0,0.0,0,"Cafe, Quick Bites",No,No
Organo Fresh,Whitefield,Brookefield,juices,150.0,0.0,0,Beverage Shop,Yes,No
Sri Balaji Andhra Mess,Bommanahalli,Btm,andhra,300.0,0.0,0,Mess,No,No
Mitraa Da Pizza,Rajajinagar,Malleshwaram,"fast food, pizza",250.0,0.0,0,Quick Bites,Yes,No
Alif Hotel,Yeshwantpur,Malleshwaram,"north indian, chinese, mughlai",400.0,0.0,0,Quick Bites,Yes,No
Three 7 Kitchen,Frazer Town,Frazer Town,"fast food, beverages, north indian, south indian",300.0,0.0,0,Delivery,No,No
Lassi Cream,Frazer Town,Frazer Town,"beverages, ice cream",200.0,0.0,0,Beverage Shop,No,No
Bisi Thindi,Kammanahalli,Frazer Town,south indian,150.0,0.0,0,Quick Bites,Yes,No
Farida's Kitchen,Frazer Town,Frazer Town,mughlai,250.0,0.0,0,"Takeaway, Delivery",No,No
Kolkatta Famous Kati Rolls,Frazer Town,Frazer Town,rolls,150.0,0.0,0,"Takeaway, Delivery",No,No
Ice box,Frazer Town,Frazer Town,"ice cream, beverages, fast food",200.0,0.0,0,Delivery,No,No
Shahi Hyderabadi Dum Biryani,Frazer Town,Frazer Town,"north indian, biryani",400.0,0.0,0,"Takeaway, Delivery",No,No
The Joint Family Kitchen,Frazer Town,Frazer Town,"fast food, beverages",500.0,0.0,0,"Takeaway, Delivery",No,No
Toasty's,Whitefield,Brookefield,fast food,500.0,0.0,0,Food Court,Yes,No
Caife Coffee Point,Bommanahalli,Btm,"beverages, fast food",0.0,0.0,0,"Beverage Shop, Quick Bites",No,No
Manjunatha Condiments,Rajajinagar,Malleshwaram,"fast food, south indian",200.0,0.0,0,Quick Bites,No,No
Hotel Rasai,Rajajinagar,Malleshwaram,"south indian, chinese",150.0,0.0,0,Quick Bites,No,No
RR Dum Biryani,Basaveshwara Nagar,Malleshwaram,"biryani, kebab",300.0,0.0,0,Quick Bites,No,No
Foodbell,Sarjapur Road,Bellandur,"north indian, chinese, biryani",300.0,0.0,0,"Takeaway, Delivery",Yes,No
